,Titles,Variable,Value
0,わんだふるぷりきゅあ︕,0,日曜 8:30 / ABCテレビ・テレビ朝日系列 他…
1,新幹線変形ロボ シンカリオン チェンジ ザ ワールド,0,日曜 8:30 / テレビ東京系列 他…
2,杖と剣のウィストリア,0,日曜 16:30 / TBS系全国28局ネット 他…
3,キャプテン翼シーズン2 ジュニアユース編,0,日曜 17:30 / テレビ東京系6局ネット
4,FAIRY TAIL 100年クエスト,0,日曜 17:30 / テレビ東京系列6局ネット
5,0歳児スタートダッシュ物語,0,日曜 17:55 / テレビ埼玉
6,[再] ハクション大魔王,0,日曜 20:45 / BS12
7,[再] アイドルマスター シンデレラガールズ,0,日曜 21:30 / TOKYO MX 他…
8,伊藤潤二 マニアック,0,日曜 22:00 / TOKYO MX
9,神之塔 -Tower of God- (第2期),0,日曜 23:00 / TOKYO MX 他…
10,[再] 転生貴族、鑑定スキルで成り上がる,0,日曜 23:00 / BS日テレ
11,キン肉マン 完璧超人始祖編 (第3期),0,日曜 23:30 / CBC／TBS系全国28局ネット 他…
12,しかのこのこのここしたんたん,0,日曜 23:30 / TOKYO MX 他…
13,菜なれ花なれ,0,日曜 23:45 / テレビ東京系列 他…
14,VTuberなんだが配信切り忘れたら伝説になってた,0,日曜 24:30 / TOKYO MX 他…
15,よあそびぐらしっ！,0,日曜 25:00 / TOKYO MX 他…
16,異世界ゆるり紀行 ～子育てしながら冒険者します～,0,日曜 25:50 / テレビ東京 他…
17,闇芝居 十三期,0,日曜 26:50 / テレビ東京
18,[再] ゲゲゲの鬼太郎 (第6期),0,月曜 18:30 / TOKYO MX
19,[再] ゾイド -ZOIDS-,0,月曜 19:00 / TOKYO MX
20,[再] ぷにるんず,0,月曜 19:00 / TOKYO MX
21,真夜中ぱんチ,0,月曜 22:30 / TOKYO MX 他…
22,[再] MFゴースト,0,月曜 23:00 / TOKYO MX
23,[再] カードファイト!! ヴァンガード Divinez,0,月曜 23:00 / BS日テレ
24,[再] 文豪ストレイドッグス 第2シーズン,0,月曜 23:30 / BS松竹東急
25,NINJA KAMUI,0,月曜 24:00 / TOKYO MX
26,SHY (第2期),0,月曜 24:00 / テレビ東京系6局ネット 他…
27,[再] 五等分の花嫁,0,月曜 24:00 / BS11
28,[再] ゴールデンカムイ 第三期,0,月曜 24:30 / TOKYO MX
29,狼と香辛料 merchant meets the wise wolf,0,月曜 25:30 / テレビ東京 他…
30,新米オッサン冒険者、最強パーティに死ぬほど鍛えられて無敵になる。,0,月曜 26:00 / テレビ東京 他…
31,[再] ＧＯ！ＧＯ！アトム,0,火曜 18:30 / TOKYO MX
